Human Marker Symbol	Human Entrez Gene ID	HomoloGene ID	Mouse Marker Symbol	MGI Marker Accession ID	High-level Mammalian Phenotype ID (space-delimited)
CLCN1	1180	63	Clcn1	  MGI:88417	  MP:0003631 MP:0005390 MP:0005386 MP:0010768 MP:0010771 MP:0005389 MP:0005378 MP:0005369 MP:0005376
CLCN2	1181	3213	Clcn2	  MGI:105061	  MP:0005379 MP:0005384 MP:0005385 MP:0005397 MP:0005389 MP:0001186 MP:0005381 MP:0003631 MP:0005391 MP:0005387
CLCN3	1182	20435	Clcn3	  MGI:103555	  MP:0005375 MP:0005378 MP:0005369 MP:0005390 MP:0005387 MP:0005376 MP:0005384 MP:0005370 MP:0005386 MP:0005397 MP:0005385 MP:0005389 MP:0010768 MP:0005391 MP:0005381 MP:0003631
CLCN4	1183	68207	Clcn4	  MGI:104571	
CLCN5	1184	73872	Clcn5	  MGI:99486	  MP:0005378 MP:0005384 MP:0005376 MP:0005382 MP:0005390 MP:0005367
CLCN6	1185	985	Clcn6	  MGI:1347049	  MP:0005384 MP:0010771 MP:0003631 MP:0005386
CLCN7	1186	56546	Clcn7	  MGI:1347048	  MP:0001186 MP:0010768 MP:0005397 MP:0005388 MP:0005386 MP:0005367 MP:0005390 MP:0005387 MP:0005391 MP:0003631 MP:0005371 MP:0010771 MP:0005378 MP:0005384 MP:0005376 MP:0005382
CLCNKA	1187	65	Clcnka	  MGI:1329026	  MP:0005381 MP:0005387 MP:0005367 MP:0005376
CLCNKA	1187	107317	Clcnkb	  MGI:1930643	  MP:0005378 MP:0005375 MP:0005376 MP:0010768 MP:0005385 MP:0005386 MP:0005367 MP:0005390
CLCNKB	1188	65	Clcnka	  MGI:1329026	  MP:0005381 MP:0005387 MP:0005367 MP:0005376
CLCNKB	1188	107317	Clcnkb	  MGI:1930643	  MP:0005378 MP:0005375 MP:0005376 MP:0010768 MP:0005385 MP:0005386 MP:0005367 MP:0005390
CLDN1	9076	9620	Cldn1	  MGI:1276109	  MP:0005378 MP:0010771 MP:0005376 MP:0010768
CLDN10	9071	5076	Cldn10	  MGI:1913101	  MP:0005367 MP:0005386 MP:0005376
CLDN11	5010	4093	Cldn11	  MGI:106925	  MP:0005379 MP:0005384 MP:0005377 MP:0003631 MP:0005389 MP:0005386 MP:0005391
CLDN12	9069	40809	Cldn12	  MGI:1929288	  MP:0005386
CLDN14	23562	8115	Cldn14	  MGI:1860425	  MP:0005377 MP:0003631
CLDN15	24146	8646	Cldn15	  MGI:1913103	  MP:0005381 MP:0005384 MP:0005379
CLDN16	10686	4799	Cldn16	  MGI:2148742	  MP:0005367 MP:0005376
CLDN17	26285	8116	Cldn17	  MGI:2652030	
CLDN18	51208	9489	Cldn18	  MGI:1929209	  MP:0005384 MP:0005379 MP:0005390 MP:0005387 MP:0003631 MP:0005381 MP:0005389 MP:0005397 MP:0005388
CLDN19	149461	17528	Cldn19	  MGI:3033992	  MP:0005376 MP:0005375 MP:0003631 MP:0005386 MP:0005385
CLDN2	9075	9621	Cldn2	  MGI:1276110	  MP:0005367 MP:0005376
CLDN20	49861	47972	Cldn20	  MGI:3646757	
CLDN22	53842	129823	Cldn22	  MGI:1922927	
CLDN23	137075	12421	Cldn23	  MGI:1919158	
CLDN24	100132463	136011	Cldn24	  MGI:3712484	
CLDN25	644672	NA	Cldn25-ps	  MGI:3642767	
CLDN3	1365	1001	Cldn3	  MGI:1329044	
CLDN34	100288814	120348	Cldn34-ps	  MGI:3645962	
CLDN4	1364	1000	Cldn4	  MGI:1313314	  MP:0010768 MP:0005397 MP:0005385 MP:0005367 MP:0005384 MP:0005376 MP:0005378
CLDN5	7122	2459	Cldn5	  MGI:1276112	  MP:0005385 MP:0010768 MP:0003631
CLDN6	9074	10300	Cldn6	  MGI:1859284	
CLDN7	1366	9649	Cldn7	  MGI:1859285	  MP:0005397 MP:0010768 MP:0005367 MP:0005378 MP:0010771 MP:0005376
CLDN8	9073	8117	Cldn8	  MGI:1859286	  MP:0005385 MP:0005376 MP:0005367
CLDN9	9080	10656	Cldn9	  MGI:1913100	  MP:0005377 MP:0003631 MP:0005386
CLDND1	56650	10534	Cldnd1	  MGI:2447860	
CLDND2	125875	17559	Cldnd2	  MGI:1921526	
CLEC10A	10462	7836	Clec10a	  MGI:96975	  MP:0005397
CLEC10A	10462	7836	Mgl2	  MGI:2385729	  MP:0005387 MP:0005397
CLEC11A	6320	2236	Clec11a	  MGI:1298219	  MP:0005371 MP:0005390 MP:0005375 MP:0005397 MP:0005376 MP:0005384
CLEC12A	160364	51378	Clec12a	  MGI:3040968	  MP:0005384 MP:0005387 MP:0005376 MP:0010768 MP:0005397
CLEC12B	387837	19247	Clec12b	  MGI:1918433	
CLEC14A	161198	12047	Clec14a	  MGI:1914114	
CLEC16A	23274	71019	Clec16a	  MGI:1921624	  MP:0005376 MP:0005384 MP:0005378 MP:0005379 MP:0005377 MP:0005371 MP:0005391 MP:0010768
CLEC18A	348174	18755	Clec18a	  MGI:2672935	
CLEC18B	497190	18755	Clec18a	  MGI:2672935	
CLEC18C	283971	18755	Clec18a	  MGI:2672935	
CLEC1A	51267	9549	Clec1a	  MGI:2444151	
CLEC1B	51266	49468	Clec1b	  MGI:1913287	  MP:0005387 MP:0005381 MP:0003631 MP:0005385 MP:0005397 MP:0010768 MP:0005388 MP:0005376 MP:0010771
CLEC2A	387836	136171	Clec2f	  MGI:3522133	
CLEC2L	154790	35527	Clec2l	  MGI:2141402	
CLEC3A	10143	4205	Clec3a	  MGI:2685642	
CLEC3B	7123	31145	Clec3b	  MGI:104540	  MP:0005386 MP:0005390 MP:0005377
CLEC4A	50856	49291	Clec4a2	  MGI:1349412	  MP:0005384 MP:0005376 MP:0005379 MP:0005389 MP:0005397 MP:0005381 MP:0005390 MP:0005387
CLEC4C	170482	130350	Clec4b1	  MGI:1917060	
CLEC4D	338339	7844	Clec4d	  MGI:1298389	  MP:0005387 MP:0005388 MP:0005397 MP:0010768 MP:0005379 MP:0005376 MP:0005384
CLEC4E	26253	22809	Clec4e	  MGI:1861232	  MP:0005387 MP:0005376 MP:0005397 MP:0005385 MP:0010768
CLEC4F	165530	9630	Clec4f	  MGI:1859834	  MP:0005387 MP:0005397
CLEC4G	339390	18879	Clec4g	  MGI:1923113	  MP:0005376 MP:0005387 MP:0005370 MP:0005397
CLEC5A	23601	8302	Clec5a	  MGI:1345151	  MP:0005390 MP:0005387
CLEC6A	93978	84615	Clec4n	  MGI:1861231	  MP:0005384 MP:0005387 MP:0005367 MP:0010768 MP:0005397
CLEC7A	64581	49606	Clec7a	  MGI:1861431	  MP:0005384 MP:0005376 MP:0005387 MP:0005381 MP:0010768 MP:0005397 MP:0005388
CLEC9A	283420	52106	Clec9a	  MGI:2444608	  MP:0005387
CLGN	1047	68392	Clgn	  MGI:107472	  MP:0005389
CLHC1	130162	17569	Clhc1	  MGI:1920574	
CLIC1	1192	20343	Clic1	  MGI:2148924	  MP:0005376 MP:0005397
CLIC3	9022	3432	Clic3	  MGI:1916704	
CLIC4	25932	8490	Clic4	  MGI:1352754	  MP:0005378 MP:0010771 MP:0005379 MP:0005376 MP:0005384 MP:0005397 MP:0005385 MP:0005389 MP:0010768 MP:0005391 MP:0005387
CLIC5	53405	987	Clic5	  MGI:1917912	  MP:0005377 MP:0003631 MP:0005381 MP:0005391 MP:0005387 MP:0005367 MP:0005390 MP:0005370 MP:0005388 MP:0005386 MP:0005385 MP:0005397 MP:0005378 MP:0005375 MP:0005376
CLIC6	54102	43154	Clic6	  MGI:2146607	
CLINT1	9685	133740	Clint1	  MGI:2144243	
CLIP1	6249	74455	Clip1	  MGI:1928401	  MP:0005384 MP:0005389
CLIP2	7461	20718	Clip2	  MGI:1313136	  MP:0005390 MP:0003631 MP:0005386 MP:0005384 MP:0005378
CLIP3	25999	9176	Clip3	  MGI:1923936	  MP:0005369 MP:0005376 MP:0005388 MP:0010768 MP:0003631
CLIP4	79745	11662	Clip4	  MGI:1919100	
CLK1	1195	101535	Clk1	  MGI:107403	  MP:0005378 MP:0010771 MP:0005376 MP:0005391 MP:0005397 MP:0005386 MP:0005390 MP:0005387
CLK2	1196	33303	Clk2	  MGI:1098669	  MP:0005384 MP:0005376 MP:0005370
CLK3	1198	101534	Clk3	  MGI:1098670	
CLK4	57396	56895	Clk4	  MGI:1098551	
CLMN	79789	11683	Clmn	  MGI:2136957	
CLMP	79827	11705	Clmp	  MGI:1918816	  MP:0005381 MP:0005367 MP:0005386 MP:0005389 MP:0010768 MP:0005385 MP:0005378 MP:0005369 MP:0005376
CLN3	1201	37259	Cln3	  MGI:107537	  MP:0005384 MP:0005376 MP:0005397 MP:0003631 MP:0005391 MP:0005387 MP:0005367 MP:0005370 MP:0005386 MP:0005389 MP:0010768
CLN5	1203	4738	Cln5	  MGI:2442253	  MP:0003631 MP:0005391
CLN6	54982	9898	Cln6	  MGI:2159324	  MP:0005397 MP:0010768 MP:0005386 MP:0003631 MP:0005391 MP:0005375
CLN8	2055	10340	Cln8	  MGI:1349447	  MP:0005391 MP:0003631 MP:0001186 MP:0005389 MP:0010768 MP:0005386
CLNK	116449	8450	Clnk	  MGI:1351468	  MP:0005397 MP:0005387
CLNS1A	1207	990	Clns1a	  MGI:109638	  MP:0005384 MP:0010768
CLOCK	9575	3603	Clock	  MGI:99698	  MP:0003631 MP:0005381 MP:0005389 MP:0005385 MP:0005386 MP:0005370 MP:0005384 MP:0005376 MP:0005375 MP:0005379 MP:0010771 MP:0005378
CLP1	10978	4975	Clp1	  MGI:2138968	  MP:0010771 MP:0005378 MP:0005369 MP:0005384 MP:0005387 MP:0005390 MP:0005388 MP:0005386 MP:0010768 MP:0005397 MP:0003631
CLPB	81570	32067	Clpb	  MGI:1100517	
CLPP	8192	4385	Clpp	  MGI:1858213	  MP:0005384 MP:0005376 MP:0010771 MP:0005378 MP:0005379 MP:0005380 MP:0005386 MP:0005387 MP:0005390 MP:0005389 MP:0010768 MP:0005397
CLPS	1208	1383	Clps	  MGI:88421	  MP:0005381 MP:0003631 MP:0005386 MP:0005385 MP:0010768 MP:0010771 MP:0005389 MP:0005375 MP:0005379 MP:0005382 MP:0005376 MP:0005378
CLPSL2	389383	86835	Clpsl2	  MGI:2685595	
CLPTM1	1209	37464	Clptm1	  MGI:1927155	
CLPTM1L	81037	12767	Clptm1l	  MGI:2442892	  MP:0010768 MP:0005397 MP:0005386 MP:0005387 MP:0003631
CLPX	10845	4851	Clpx	  MGI:1346017	  MP:0010768
CLRN1	7401	17738	Clrn1	  MGI:2388124	  MP:0005377 MP:0003631 MP:0005386 MP:0010771
CLRN2	645104	84057	Clrn2	  MGI:3646230	  MP:0005386 MP:0005390 MP:0005378 MP:0005375
CLRN3	119467	17544	Clrn3	  MGI:2142022	
CLSPN	63967	11138	Clspn	  MGI:2445153	  MP:0010768
CLSTN1	22883	8814	Clstn1	  MGI:1929895	  MP:0005390 MP:0005397 MP:0005391 MP:0003631
CLSTN2	64084	49698	Clstn2	  MGI:1929897	  MP:0003631 MP:0005386 MP:0005385
CLSTN3	9746	22836	Clstn3	  MGI:2178323	  MP:0005386 MP:0003631 MP:0005390 MP:0005378
CLTA	1211	1384	Clta	  MGI:894297	
CLTB	1212	37532	Cltb	  MGI:1921575	
CLTC	1213	3572	Cltc	  MGI:2388633	
CLTRN	57393	10767	Cltrn	  MGI:1926234	  MP:0005386 MP:0005367 MP:0005369 MP:0005375 MP:0005378 MP:0005384 MP:0005376
CLU	1191	1382	Clu	  MGI:88423	  MP:0005376 MP:0005369 MP:0005386 MP:0005387 MP:0005367 MP:0005385
CLUAP1	23059	14831	Cluap1	  MGI:1924029	  MP:0003631 MP:0005380 MP:0010768 MP:0005385 MP:0005378 MP:0005384 MP:0005376
CLUH	23277	9063	Cluh	  MGI:1921398	  MP:0005378 MP:0005375 MP:0005384 MP:0005376 MP:0010768 MP:0005380 MP:0005370
CLVS1	157807	65267	Clvs1	  MGI:1921688	  MP:0003631 MP:0005376 MP:0005390 MP:0005378
CLVS2	134829	27894	Clvs2	  MGI:2443223	
CLYBL	171425	49925	Clybl	  MGI:1916884	  MP:0005386 MP:0005376
CMA1	1215	55606	Cma1	  MGI:96941	  MP:0005397 MP:0005387
CMAHP	8418	7269	Cmah	  MGI:103227	  MP:0005384 MP:0005376 MP:0005387 MP:0005386 MP:0010768 MP:0005397 MP:0003631 MP:0005377
CMAS	55907	7670	Cmas	  MGI:1337124	
CMBL	134147	100714	Cmbl	  MGI:1916824	  MP:0005390 MP:0005371
CMC1	152100	12207	Cmc1	  MGI:1915149	
CMC2	56942	41350	Cmc2	  MGI:1913781	
CMC4	100272147	NA	Cmc4	  MGI:5637812	
CMIP	80790	18869	Cmip	  MGI:1921690	  MP:0005387 MP:0005381 MP:0003631 MP:0002006 MP:0005385 MP:0010768 MP:0005370 MP:0005380 MP:0005379
CMKLR1	1240	129967	Cmklr1	  MGI:109603	  MP:0005384 MP:0005387 MP:0005388 MP:0005397
CMPK1	51727	32308	Cmpk1	  MGI:1913838	  MP:0010768 MP:0005367
CMPK2	129607	10748	Cmpk2	  MGI:99830	  MP:0005376 MP:0005390 MP:0005386
CMSS1	84319	11979	Cmss1	  MGI:1913747	
CMTM1	113540	134399	Cmtm1	  MGI:2447159	
CMTM2	146225	88508	Cmtm2a	  MGI:2447160	
CMTM2	146225	88915	Cmtm2b	  MGI:2447311	
CMTM3	123920	11486	Cmtm3	  MGI:2447162	
CMTM4	146223	45211	Cmtm4	  MGI:2142888	
CMTM5	116173	16322	Cmtm5	  MGI:2447164	  MP:0005378 MP:0005375
CMTM6	54918	9845	Cmtm6	  MGI:2447165	
CMTM7	112616	15882	Cmtm7	  MGI:2447166	  MP:0010768
CMTM8	152189	12345	Cmtm8	  MGI:2447167	
CMTR1	23070	9003	Cmtr1	  MGI:1921407	
CMTR2	55783	10144	Cmtr2	  MGI:2384580	  MP:0005378 MP:0005380 MP:0010768
CMYA5	202333	137367	Cmya5	  MGI:1923719	
CNBD1	168975	27843	Cnbd1	  MGI:3650508	
CNBD2	140894	15440	Cnbd2	  MGI:1918123	  MP:0005389 MP:0005384 MP:0005379
CNBP	7555	2567	Cnbp	  MGI:88431	  MP:0005382 MP:0005384 MP:0005378 MP:0003631 MP:0005391 MP:0005390 MP:0005380 MP:0010768
CNDP1	84735	57178	Cndp1	  MGI:2451097	
CNDP2	55748	10085	Cndp2	  MGI:1913304	  MP:0005386
CNEP1R1	255919	14472	Cnep1r1	  MGI:1921981	
CNFN	84518	13039	Cnfn	  MGI:1919633	
CNGA1	1259	55432	Cnga1	  MGI:88436	
CNGA2	1260	32022	Cnga2	  MGI:108040	  MP:0010768 MP:0005388 MP:0003631 MP:0005382 MP:0005378 MP:0005394
CNGA3	1261	994	Cnga3	  MGI:1341818	  MP:0005391 MP:0003631 MP:0005387 MP:0005397 MP:0005385 MP:0010771 MP:0005389 MP:0005394
CNGA4	1262	13579	Cnga4	  MGI:2664099	  MP:0005394
CNGB1	1258	136420	Cngb1	  MGI:2664102	  MP:0003631 MP:0005391 MP:0010768 MP:0001186 MP:0005378
CNGB3	54714	40908	Cngb3	  MGI:1353562	  MP:0005384 MP:0005391 MP:0003631
CNIH1	10175	4219	Cnih1	  MGI:1277202	  MP:0005386 MP:0005378
CNIH2	254263	7671	Cnih2	  MGI:1277225	  MP:0003631 MP:0005390 MP:0005376 MP:0005378
CNIH3	149111	12486	Cnih3	  MGI:1920228	  MP:0005375
CNIH4	29097	5932	Cnih4	  MGI:1925828	
CNKSR1	10256	4604	Cnksr1	  MGI:2670958	
CNKSR2	22866	8956	Cnksr2	  MGI:2661175	  MP:0005386
CNKSR3	154043	18192	Cnksr3	  MGI:2674130	
CNMD	11061	5095	Cnmd	  MGI:1341171	  MP:0005387 MP:0005390 MP:0005397 MP:0005376 MP:0005384
CNN1	1264	995	Cnn1	  MGI:104979	  MP:0005390 MP:0005371 MP:0010768 MP:0005384 MP:0005376
CNN2	1265	3215	Cnn2	  MGI:105093	  MP:0005397 MP:0005387 MP:0005384 MP:0005376
CNN3	1266	37533	Cnn3	  MGI:1919244	  MP:0010768 MP:0003631
CNNM1	26507	10673	Cnnm1	  MGI:1891366	
CNNM2	54805	9761	Cnnm2	  MGI:2151054	  MP:0005382 MP:0005378 MP:0005380 MP:0005386 MP:0005385 MP:0010768
CNNM3	26505	23029	Cnnm3	  MGI:2151055	
CNNM4	26504	75662	Cnnm4	  MGI:2151060	  MP:0005381 MP:0005367 MP:0005390 MP:0005378 MP:0010768 MP:0005382 MP:0005376
CNOT1	23019	9453	Cnot1	  MGI:2442402	  MP:0010768 MP:0005385 MP:0005384 MP:0005369
CNOT10	25904	41040	Cnot10	  MGI:1926143	  MP:0005378 MP:0003631 MP:0010768 MP:0005380
CNOT11	55571	9711	Cnot11	  MGI:106580	
CNOT2	4848	40953	Cnot2	  MGI:1919318	
CNOT3	4849	133900	Cnot3	  MGI:2385261	  MP:0010771 MP:0005378 MP:0005375 MP:0005369 MP:0005384 MP:0005376 MP:0005387 MP:0005390 MP:0005380 MP:0005370 MP:0010768 MP:0005385 MP:0005397
CNOT4	4850	40870	Cnot4	  MGI:1859026	  MP:0005397 MP:0010768 MP:0005380 MP:0005386 MP:0005387 MP:0005390 MP:0005371 MP:0005378 MP:0010771 MP:0005375 MP:0005376
CNOT6	57472	69187	Cnot6	  MGI:2144529	  MP:0005371 MP:0005390 MP:0010768
CNOT6L	246175	100830	Cnot6l	  MGI:2443154	  MP:0005370 MP:0005378 MP:0010771 MP:0005375 MP:0005376
CNOT7	29883	49011	Cnot7	  MGI:1298230	  MP:0005389 MP:0005379 MP:0005384
CNOT8	9337	48304	Cnot8	  MGI:1916375	
CNOT9	9125	3973	Cnot9	  MGI:1928902	  MP:0005376 MP:0005380 MP:0003631
CNP	1267	7672	Cnp	  MGI:88437	  MP:0005369 MP:0005378 MP:0005390 MP:0003631 MP:0010768 MP:0005386
CNPPD1	27013	9238	Cnppd1	  MGI:1916421	  MP:0005378 MP:0005375 MP:0005371
CNPY1	285888	89678	Cnpy1	  MGI:2442451	  MP:0005376
CNPY2	10330	40934	Cnpy2	  MGI:1928477	  MP:0005370 MP:0005376 MP:0005378 MP:0005384
CNPY3	10695	4803	Cnpy3	  MGI:1919279	  MP:0005397 MP:0010768 MP:0005387 MP:0005378
CNPY4	245812	15196	Cnpy4	  MGI:1913705	  MP:0005389
CNR1	1268	7273	Cnr1	  MGI:104615	  MP:0005381 MP:0003631 MP:0005390 MP:0005386 MP:0005375 MP:0005378 MP:0010768 MP:0010771 MP:0005389 MP:0005376 MP:0005384 MP:0005394
CNR2	1269	1389	Cnr2	  MGI:104650	  MP:0005397 MP:0005387 MP:0010771
CNRIP1	25927	9153	Cnrip1	  MGI:1917505	
CNST	163882	17139	Cnst	  MGI:2445141	
CNTD1	124817	12237	Cntd1	  MGI:1923965	  MP:0005389 MP:0005379 MP:0005384
CNTF	1270	8288	Cntf	  MGI:88439	  MP:0005379 MP:0005369 MP:0005376 MP:0005387 MP:0005384 MP:0005386 MP:0005397 MP:0005389 MP:0003631
CNTFR	1271	9619	Cntfr	  MGI:99605	  MP:0003631 MP:0010768 MP:0005386
CNTLN	54875	9805	Cntln	  MGI:2443104	
CNTN1	1272	7274	Cntn1	  MGI:105980	  MP:0005386 MP:0010768 MP:0005381 MP:0003631 MP:0005384 MP:0005378
CNTN2	6900	3720	Cntn2	  MGI:104518	  MP:0005379 MP:0005397 MP:0003631 MP:0005387 MP:0005370 MP:0005386 MP:0002006
CNTN3	5067	7461	Cntn3	  MGI:99534	
CNTN4	152330	14257	Cntn4	  MGI:1095737	  MP:0003631
CNTN5	53942	28447	Cntn5	  MGI:3042287	  MP:0003631 MP:0005386
CNTN6	27255	8702	Cntn6	  MGI:1858223	  MP:0005376 MP:0005386 MP:0003631 MP:0005397
CNTNAP1	8506	2693	Cntnap1	  MGI:1858201	  MP:0003631 MP:0005391 MP:0005390 MP:0005386 MP:0005389 MP:0010768 MP:0005378 MP:0005369
CNTNAP2	26047	69159	Cntnap2	  MGI:1914047	  MP:0005384 MP:0005378 MP:0010771 MP:0005394 MP:0003631 MP:0005386
CNTNAP3	79937	129602	Cntnap3	  MGI:3588199	  MP:0005386
CNTNAP4	85445	24912	Cntnap4	  MGI:2183572	  MP:0005386 MP:0003631 MP:0005376
CNTNAP5	129684	43974	Cntnap5a	  MGI:3643623	  MP:0005375 MP:0005378
CNTRL	11064	38260	Cntrl	  MGI:1889576	  MP:0005385 MP:0005367 MP:0005391 MP:0005378
CNTROB	116840	14205	Cntrob	  MGI:2443290	
COA3	28958	69156	Coa3	  MGI:1098757	
COA4	51287	9567	Coa4	  MGI:1915435	
COA5	493753	82943	Coa5	  MGI:1923428	  MP:0005379 MP:0005389 MP:0010768 MP:0010771 MP:0005378 MP:0005380
COA6	388753	65283	Coa6	  MGI:1915142	
COA7	65260	11317	Coa7	  MGI:1917143	
COA8	84334	12225	Apopt1	  MGI:1915270	  MP:0005386 MP:0005376 MP:0005384
COASY	80347	11889	Coasy	  MGI:1918993	
COBL	23242	9058	Cobl	  MGI:105056	
COBLL1	22837	8933	Cobll1	  MGI:2442894	
COCH	1690	20868	Coch	  MGI:1278313	  MP:0005377
COG1	9382	8411	Cog1	  MGI:1333873	
COG2	22796	7206	Cog2	  MGI:1923582	  MP:0005376 MP:0005378 MP:0005397 MP:0010768
COG3	83548	5854	Cog3	  MGI:2450151	  MP:0005391 MP:0010768
COG4	25839	7155	Cog4	  MGI:2142808	
COG5	10466	42221	Cog5	  MGI:2145130	
COG6	57511	10802	Cog6	  MGI:1914792	  MP:0005391 MP:0003631 MP:0005390 MP:0005387 MP:0005370 MP:0005380 MP:0001186 MP:0005385 MP:0005397 MP:0010771 MP:0005376
COG7	91949	33431	Cog7	  MGI:2685013	  MP:0010768
COG8	84342	13018	Cog8	  MGI:2142885	
COIL	8161	3413	Coil	  MGI:104842	  MP:0010768 MP:0005384
COL10A1	1300	55466	Col10a1	  MGI:88445	  MP:0005387 MP:0005390 MP:0005371 MP:0003631 MP:0010768 MP:0005397 MP:0005386 MP:0005384 MP:0005382 MP:0005378 MP:0005379
COL11A1	1301	56389	Col11a1	  MGI:88446	  MP:0005382 MP:0005378 MP:0005388 MP:0005387 MP:0005390 MP:0003631 MP:0005377 MP:0005371 MP:0005381 MP:0010768
COL11A2	1302	22547	Col11a2	  MGI:88447	  MP:0005382 MP:0005376 MP:0005378 MP:0005377 MP:0005390 MP:0005386
COL12A1	1303	3217	Col12a1	  MGI:88448	  MP:0010768 MP:0005386 MP:0005390 MP:0005369 MP:0005371 MP:0005378 MP:0005384
COL13A1	1305	22421	Col13a1	  MGI:1277201	  MP:0005376 MP:0005384 MP:0005369 MP:0005378 MP:0005386 MP:0005387 MP:0003631
COL14A1	7373	18741	Col14a1	  MGI:1341272	  MP:0005390 MP:0005378 MP:0010771 MP:0005369
COL15A1	1306	1396	Col15a1	  MGI:88449	  MP:0005369 MP:0005385
COL16A1	1307	1397	Col16a1	  MGI:1095396	  MP:0005391
COL17A1	1308	7276	Col17a1	  MGI:88450	  MP:0010771 MP:0005378 MP:0005384 MP:0005387 MP:0005386 MP:0001186 MP:0010768 MP:0005389 MP:0005397 MP:0005367
COL18A1	80781	7673	Col18a1	  MGI:88451	  MP:0005376 MP:0005384 MP:0003631 MP:0005382 MP:0005391 MP:0005385 MP:0001186 MP:0005386 MP:0005367 MP:0005390
COL19A1	1310	55608	Col19a1	  MGI:1095415	  MP:0005381 MP:0005386 MP:0010768 MP:0005369 MP:0005378 MP:0010771
COL1A1	1277	73874	Col1a1	  MGI:88467	  MP:0005378 MP:0010771 MP:0005375 MP:0005376 MP:0005384 MP:0005369 MP:0005371 MP:0003631 MP:0005377 MP:0005382 MP:0005391 MP:0005385 MP:0005397 MP:0010768 MP:0005389 MP:0001186 MP:0005380 MP:0005386 MP:0005370 MP:0005388 MP:0005387 MP:0005390
COL1A2	1278	69	Col1a2	  MGI:88468	  MP:0005376 MP:0005369 MP:0005375 MP:0005378 MP:0010771 MP:0005386 MP:0005390 MP:0005371 MP:0005385 MP:0010768
COL20A1	57642	75138	Col20a1	  MGI:1920618	
COL22A1	169044	43567	Col22a1	  MGI:1916950	
COL23A1	91522	72101	Col23a1	  MGI:2653243	
COL24A1	255631	65061	Col24a1	  MGI:1918605	  MP:0005386 MP:0005378
COL25A1	84570	57111	Col25a1	  MGI:1924268	  MP:0005384 MP:0005376 MP:0005369 MP:0003631 MP:0010768 MP:0005386 MP:0005388
COL26A1	136227	136636	Col26a1	  MGI:2155345	  MP:0005387
COL27A1	85301	69400	Col27a1	  MGI:2672118	  MP:0005378 MP:0005382 MP:0005390 MP:0005388 MP:0005380 MP:0010768 MP:0005371
COL28A1	340267	66345	Col28a1	  MGI:2685312	
COL2A1	1280	55607	Col2a1	  MGI:88452	  MP:0005376 MP:0005384 MP:0005382 MP:0005375 MP:0005378 MP:0005388 MP:0005386 MP:0005380 MP:0005390 MP:0005367 MP:0005391 MP:0005381 MP:0005371 MP:0003631 MP:0005377 MP:0005385 MP:0005389 MP:0010768
COL3A1	1281	55433	Col3a1	  MGI:88453	  MP:0005397 MP:0005385 MP:0010768 MP:0005370 MP:0005388 MP:0005387 MP:0005369 MP:0005381 MP:0005375 MP:0005378 MP:0010771 MP:0005376
COL4A1	1282	20437	Col4a1	  MGI:88454	  MP:0005384 MP:0005376 MP:0005369 MP:0005378 MP:0005380 MP:0005386 MP:0005388 MP:0005387 MP:0005367 MP:0003631 MP:0005391 MP:0010768 MP:0005389 MP:0005397 MP:0005385
COL4A2	1284	1390	Col4a2	  MGI:88455	  MP:0005390 MP:0005387 MP:0005391 MP:0005381 MP:0005371 MP:0005377 MP:0003631 MP:0002006 MP:0005385 MP:0005397 MP:0005389 MP:0010768 MP:0005388 MP:0005380 MP:0005376 MP:0005382 MP:0005369 MP:0005379 MP:0005378
COL4A3	1285	68033	Col4a3	  MGI:104688	  MP:0005376 MP:0005384 MP:0005378 MP:0010768 MP:0005377 MP:0005391 MP:0005387 MP:0005367 MP:0005386 MP:0005385
COL4A4	1286	20071	Col4a4	  MGI:104687	  MP:0005376 MP:0005378 MP:0005387 MP:0005367 MP:0005381 MP:0005377 MP:0005391 MP:0010768
COL4A5	1287	133559	Col4a5	  MGI:88456	  MP:0005367 MP:0005387 MP:0005391 MP:0005385 MP:0010768 MP:0005376
COL4A6	1288	48050	Col4a6	  MGI:2152695	
COL5A1	1289	55434	Col5a1	  MGI:88457	  MP:0010771 MP:0005380 MP:0010768 MP:0005385 MP:0005391
COL5A2	1290	20119	Col5a2	  MGI:88458	  MP:0010771 MP:0005378 MP:0005391 MP:0010768 MP:0005385 MP:0005388 MP:0005386 MP:0005390
COL5A3	50509	9253	Col5a3	  MGI:1858212	  MP:0005379 MP:0005375 MP:0010771 MP:0005378 MP:0005369 MP:0005384 MP:0005376
COL6A1	1291	1391	Col6a1	  MGI:88459	  MP:0005384 MP:0005369
COL6A2	1292	1392	Col6a2	  MGI:88460	  MP:0005378 MP:0005386
COL6A3	1293	37917	Col6a3	  MGI:88461	  MP:0005390 MP:0005378 MP:0005369 MP:0005384
COL6A5	256076	122792	Col6a5	  MGI:3648134	
COL6A6	131873	18260	Col6a6	  MGI:2444259	
COL7A1	1294	73	Col7a1	  MGI:88462	  MP:0005382 MP:0005378 MP:0010771 MP:0005390 MP:0005381 MP:0005371 MP:0010768
COL8A1	1295	22423	Col8a1	  MGI:88463	  MP:0005391
COL8A2	1296	55879	Col8a2	  MGI:88464	  MP:0005391 MP:0005376 MP:0005384
COL9A1	1297	1393	Col9a1	  MGI:88465	  MP:0005390 MP:0005387 MP:0005377 MP:0005371 MP:0005384 MP:0005376
